scope,group,action,count,proportion
split,overall,increase_hypnotic,6782,0.08
split,overall,increase_opioid,20630,0.2432
split,overall,no_action,23638,0.2787
split,overall,reduce_hypnotic,10231,0.1206
split,overall,reduce_opioid,23532,0.2775
split,dev,increase_hypnotic,39,0.0922
split,dev,increase_opioid,115,0.2719
split,dev,no_action,85,0.2009
split,dev,reduce_hypnotic,62,0.1466
split,dev,reduce_opioid,122,0.2884
split,train,increase_hypnotic,6452,0.0797
split,train,increase_opioid,19691,0.2433
split,train,no_action,22610,0.2794
split,train,reduce_hypnotic,9710,0.12
split,train,reduce_opioid,22470,0.2776
split,test,increase_hypnotic,291,0.0842
split,test,increase_opioid,824,0.2384
split,test,no_action,943,0.2728
split,test,reduce_hypnotic,459,0.1328
split,test,reduce_opioid,940,0.2719
difficulty,easy,increase_hypnotic,1016,0.0585
difficulty,easy,increase_opioid,4749,0.2736
difficulty,easy,no_action,4189,0.2413
difficulty,easy,reduce_hypnotic,1771,0.102
difficulty,easy,reduce_opioid,5634,0.3246
difficulty,medium,increase_hypnotic,3456,0.0771
difficulty,medium,increase_opioid,10943,0.244
difficulty,medium,no_action,12733,0.2839
difficulty,medium,reduce_hypnotic,5191,0.1157
difficulty,medium,reduce_opioid,12529,0.2793
difficulty,hard,increase_hypnotic,2310,0.1022
difficulty,hard,increase_opioid,4938,0.2185
difficulty,hard,no_action,6716,0.2971
difficulty,hard,reduce_hypnotic,3269,0.1446
difficulty,hard,reduce_opioid,5369,0.2375
