variable,type,overall,dev,train,test,easy,medium,hard
BIS_current,field,94.10,14.18,94.55,93.75,96.56,94.88,90.65
BIS_max,field,94.10,14.18,94.55,93.75,96.56,94.88,90.65
BIS_mean,field,94.10,14.18,94.55,93.75,96.56,94.88,90.65
BIS_min,field,94.10,14.18,94.55,93.75,96.56,94.88,90.65
BIS_slope,field,94.10,14.18,94.55,93.75,96.56,94.88,90.65
BIS_trend,field,94.10,14.18,94.55,93.75,96.56,94.88,90.65
DBP_current,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
DBP_max,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
DBP_mean,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
DBP_min,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
DBP_slope,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
DBP_trend,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
EtCO2_current,field,72.04,10.64,72.56,69.11,66.77,74.21,71.79
EtCO2_max,field,72.04,10.64,72.56,69.11,66.77,74.21,71.79
EtCO2_mean,field,72.04,10.64,72.56,69.11,66.77,74.21,71.79
EtCO2_min,field,72.04,10.64,72.56,69.11,66.77,74.21,71.79
EtCO2_slope,field,72.04,10.64,72.56,69.11,66.77,74.21,71.79
EtCO2_trend,field,72.04,10.64,72.56,69.11,66.77,74.21,71.79
HR_current,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
HR_max,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
HR_mean,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
HR_min,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
HR_slope,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
HR_trend,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
MAP_current,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
MAP_max,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
MAP_mean,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
MAP_min,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
MAP_slope,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
MAP_trend,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
PPV_current,field,67.26,0.00,67.81,64.40,61.88,69.73,66.51
PPV_max,field,67.26,0.00,67.81,64.40,61.88,69.73,66.51
PPV_mean,field,67.26,0.00,67.81,64.40,61.88,69.73,66.51
PPV_min,field,67.26,0.00,67.81,64.40,61.88,69.73,66.51
PPV_slope,field,67.26,0.00,67.81,64.40,61.88,69.73,66.51
PPV_trend,field,67.26,0.00,67.81,64.40,61.88,69.73,66.51
SBP_current,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
SBP_max,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
SBP_mean,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
SBP_min,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
SBP_slope,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
SBP_trend,field,66.97,0.00,67.51,64.23,61.46,69.41,66.37
SVV_current,field,65.46,0.00,66.03,61.99,60.57,67.96,64.24
SVV_max,field,65.46,0.00,66.03,61.99,60.57,67.96,64.24
SVV_mean,field,65.46,0.00,66.03,61.99,60.57,67.96,64.24
SVV_min,field,65.46,0.00,66.03,61.99,60.57,67.96,64.24
SVV_slope,field,65.46,0.00,66.03,61.99,60.57,67.96,64.24
SVV_trend,field,65.46,0.00,66.03,61.99,60.57,67.96,64.24
SpO2_current,field,72.44,10.87,72.96,69.42,67.53,74.52,72.08
SpO2_max,field,72.44,10.87,72.96,69.42,67.53,74.52,72.08
SpO2_mean,field,72.44,10.87,72.96,69.42,67.53,74.52,72.08
SpO2_min,field,72.44,10.87,72.96,69.42,67.53,74.52,72.08
SpO2_slope,field,72.44,10.87,72.96,69.42,67.53,74.52,72.08
SpO2_trend,field,72.44,10.87,72.96,69.42,67.53,74.52,72.08
actions_history_json,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
bis_above_60_sec,field,94.10,14.18,94.55,93.75,96.57,94.89,90.65
bis_below_40_sec,field,94.10,14.18,94.55,93.75,96.57,94.89,90.65
bis_current,field,94.14,14.18,94.59,93.75,96.60,94.92,90.70
bis_delta_abs,field,94.14,14.18,94.59,93.75,96.60,94.92,90.70
bis_delta_pct,field,86.87,11.35,87.36,85.66,85.98,87.85,85.62
bis_n_pts_short,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
bis_slope_long,field,94.11,14.18,94.56,93.75,96.56,94.89,90.67
bis_slope_short,field,94.01,13.95,94.46,93.65,96.38,94.80,90.62
bis_trend,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
bis_trend_code,field,94.11,14.18,94.56,93.75,96.56,94.89,90.67
case_id,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
case_id_fill,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
causal_depth_json,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
ce_propofol,field,99.24,100.00,99.21,99.56,98.26,99.33,99.81
ce_remi,field,99.21,100.00,99.19,99.44,98.46,99.27,99.65
cp_propofol,field,99.24,100.00,99.21,99.56,98.26,99.33,99.81
cp_remi,field,97.49,100.00,97.43,98.19,96.93,97.79,97.32
ct_propofol,field,99.24,100.00,99.21,99.56,98.26,99.33,99.81
decision_time_abs,field,100.00,100.00,100.00,99.98,99.99,100.00,99.99
depth_score,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
drug_concentrations_json,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
etco2_current,field,98.42,93.62,98.43,98.65,97.98,98.68,98.26
etco2_delta_abs,field,98.42,93.62,98.43,98.65,97.98,98.68,98.26
etco2_delta_pct,field,91.31,84.63,91.33,91.54,87.26,91.80,93.47
etco2_n_pts_short,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
etco2_slope_long,field,97.72,93.14,97.75,97.74,97.06,97.96,97.77
etco2_slope_short,field,96.53,89.36,96.60,95.98,95.63,96.75,96.79
etco2_trend,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
etco2_trend_code,field,97.72,93.14,97.75,97.74,97.06,97.96,97.77
events_json,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
exp_sevo,field,31.51,9.46,31.56,32.57,30.65,32.25,30.71
history_summary,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
hr_current,field,99.99,100.00,99.98,100.00,99.99,99.98,100.00
hr_delta_abs,field,99.99,100.00,99.98,100.00,99.99,99.98,100.00
hr_delta_pct,field,99.87,99.29,99.86,99.96,99.83,99.84,99.94
