variable,type,description
BIS_current,signal,Current value of bispectral index (0-100) over the window
BIS_max,signal,Maximum of bispectral index (0-100) over the window
BIS_mean,signal,Mean of bispectral index (0-100) over the window
BIS_min,signal,Minimum of bispectral index (0-100) over the window
BIS_slope,signal,Slope of bispectral index (0-100) over the window
BIS_trend,signal,Trend of bispectral index (0-100) over the window
DBP_current,signal,Current value of diastolic blood pressure (mmHg) over the window
DBP_max,signal,Maximum of diastolic blood pressure (mmHg) over the window
DBP_mean,signal,Mean of diastolic blood pressure (mmHg) over the window
DBP_min,signal,Minimum of diastolic blood pressure (mmHg) over the window
DBP_slope,signal,Slope of diastolic blood pressure (mmHg) over the window
DBP_trend,signal,Trend of diastolic blood pressure (mmHg) over the window
EtCO2_current,signal,Current value of end-tidal CO2 (mmHg) over the window
EtCO2_max,signal,Maximum of end-tidal CO2 (mmHg) over the window
EtCO2_mean,signal,Mean of end-tidal CO2 (mmHg) over the window
EtCO2_min,signal,Minimum of end-tidal CO2 (mmHg) over the window
EtCO2_slope,signal,Slope of end-tidal CO2 (mmHg) over the window
EtCO2_trend,signal,Trend of end-tidal CO2 (mmHg) over the window
HR_current,signal,Current value of heart rate (bpm) over the window
HR_max,signal,Maximum of heart rate (bpm) over the window
HR_mean,signal,Mean of heart rate (bpm) over the window
HR_min,signal,Minimum of heart rate (bpm) over the window
HR_slope,signal,Slope of heart rate (bpm) over the window
HR_trend,signal,Trend of heart rate (bpm) over the window
MAP_current,signal,Current value of mean arterial pressure (mmHg) over the window
MAP_max,signal,Maximum of mean arterial pressure (mmHg) over the window
MAP_mean,signal,Mean of mean arterial pressure (mmHg) over the window
MAP_min,signal,Minimum of mean arterial pressure (mmHg) over the window
MAP_slope,signal,Slope of mean arterial pressure (mmHg) over the window
MAP_trend,signal,Trend of mean arterial pressure (mmHg) over the window
SBP_current,signal,Current value of systolic blood pressure (mmHg) over the window
SBP_max,signal,Maximum of systolic blood pressure (mmHg) over the window
SBP_mean,signal,Mean of systolic blood pressure (mmHg) over the window
