column,found_in_input,category
gt_action,0,label
event_type,0,label
event_delta,0,label
event_new_value,0,label
acceptable_set,0,strategy
top2,0,strategy
top2_weights,0,strategy
gt_in_top1,0,strategy
gt_in_top2,0,strategy
gt_weight,0,strategy
entropy,0,strategy
fragility,0,strategy
consensus_pct,0,consensus
neighbor_action_dist,0,consensus
n_annotators,0,consensus
is_benchmark,0,consensus
dt_next,0,future
has_reliable_hemodynamics,0,presence_flag
has_art_line,0,presence_flag
has_bis,0,presence_flag
pt_aline2,0,presence_flag
pt_cline2,0,presence_flag
