variable,n_non_null,min,max,mean,range_min,range_max,n_out_of_range,out_of_range_pct,constant
BIS_current,79807,0.0,97.7,43.4108,0,100,0,0.0,0
BIS_max,79807,0.0,97.7,55.0076,,,,,0
BIS_mean,79807,0.0,97.7,43.4288,,,,,0
BIS_min,79807,0.0,97.7,31.0985,,,,,0
BIS_slope,79807,-81.38,152.73,0.0413,,,,,0
DBP_current,56802,10.9,287.9,64.1352,0,250,47,0.083,0
DBP_max,56802,17.8,292.4,87.4109,,,,,0
DBP_mean,56802,14.0,247.4,63.6372,,,,,0
DBP_min,56802,10.3,200.5,47.6181,,,,,0
DBP_slope,56802,-360.33,2222.32,0.5816,,,,,0
EtCO2_current,61102,0.0,79.0,34.0065,0,150,0,0.0,0
EtCO2_max,61102,0.0,98.0,36.3809,,,,,0
EtCO2_mean,61102,0.0,84.1,33.5754,,,,,0
EtCO2_min,61102,0.0,67.0,29.2028,,,,,0
EtCO2_slope,61102,-231.64,194.73,0.6219,,,,,0
HR_current,56802,30.0,240.0,92.4098,0,300,0,0.0,0
HR_max,56802,40.7,240.0,160.7777,,,,,0
HR_mean,56802,32.8,237.5,91.9658,,,,,0
HR_min,56802,30.0,227.3,62.3493,,,,,0
HR_slope,56802,-1126.26,1132.87,-0.1782,,,,,0
MAP_current,56802,-5.0,292.0,85.5816,0,250,91,0.16,0
MAP_max,56802,3.7,295.7,115.2972,,,,,0
MAP_mean,56802,3.3,255.7,84.9396,,,,,0
MAP_min,56802,-5.0,220.9,68.1413,,,,,0
MAP_slope,56802,-491.26,2110.39,0.6854,,,,,0
SBP_current,56802,30.0,296.3,117.2064,0,300,0,0.0,0
SBP_max,56802,31.0,299.3,148.9741,,,,,0
SBP_mean,56802,30.2,263.4,116.5101,,,,,0
SBP_min,56802,30.0,225.2,88.2871,,,,,0
SBP_slope,56802,-452.82,2063.96,0.8219,,,,,0
SpO2_current,61437,39.0,100.0,99.4615,0,100,0,0.0,0
SpO2_max,61437,73.0,100.0,99.8031,,,,,0
SpO2_mean,61437,54.3,100.0,99.4724,,,,,0
SpO2_min,61437,30.0,100.0,98.4058,,,,,0
SpO2_slope,61437,-118.95,91.68,-0.0008,,,,,0
bis_above_60_sec,79812,0.0,300.0,35.3892,,,,,0
bis_below_40_sec,79812,0.0,300.0,115.8759,,,,,0
bis_current,79839,0.0,97.7,43.4027,,,,,0
bis_delta_abs,79839,-97.7,97.7,1.1358,,,,,0
bis_delta_pct,73680,-1.0,22.8,-0.0042,,,,,0
bis_n_pts_short,84813,0,5,4.6946,,,,,0
bis_slope_long,79816,-27.6,190.8,0.142,,,,,0
bis_slope_short,79731,-148.8,190.8,-0.0381,,,,,0
bis_trend_code,79816,-1.0,1.0,0.0192,,,,,0
