case_id,difficulty,split,n_windows,null_score
1000,easy,train,22,0.1859
1001,hard,test,19,0.0491
1002,medium,train,21,0.068
1004,hard,train,28,0.0956
1008,medium,train,29,0.1193
101,medium,train,35,0.1311
1011,medium,train,20,0.1835
1014,hard,train,11,0.2217
1016,medium,train,38,0.056
1018,medium,train,63,0.0452
1019,medium,train,25,0.099
1024,hard,test,15,0.1268
1025,hard,train,52,0.0718
1026,hard,train,42,0.1526
1027,hard,train,39,0.0568
1028,hard,train,14,0.0641
1029,medium,train,42,0.0598
103,hard,train,19,0.0912
1030,hard,train,27,0.0656
1032,medium,train,15,0.0668
1034,easy,train,25,0.0608
1035,medium,train,26,0.0732
1036,hard,train,19,0.2735
104,medium,train,29,0.0673
1041,hard,test,23,0.0584
1043,hard,train,17,0.0669
1044,medium,train,32,0.0703
1046,hard,train,24,0.0604
1047,medium,train,31,0.0788
1049,medium,train,21,0.0702
1051,hard,train,20,0.0718
1054,easy,train,9,0.2847
1056,hard,train,28,0.0705
1058,hard,train,11,0.2815
1059,medium,train,9,0.1948
106,easy,train,11,0.2746
1061,medium,train,20,0.0821
1064,medium,train,7,0.2105
1068,medium,train,19,0.2871
1071,easy,train,11,0.2934
1073,medium,train,29,0.0614
1074,medium,train,15,0.0912
1076,hard,train,47,0.061
1077,medium,train,14,0.1055
1078,easy,train,34,0.0596
1080,hard,train,23,0.2874
1082,hard,test,24,0.2109
1087,easy,train,28,0.0717
1089,medium,train,25,0.0674
1091,medium,train,17,0.0597
1094,easy,train,43,0.0612
1095,hard,train,61,0.1121
1096,medium,train,39,0.1402
1097,medium,train,31,0.0603
1098,medium,train,22,0.0977
1100,easy,train,12,0.277
1101,medium,train,24,0.2644
1102,easy,train,14,0.0652
1103,hard,train,27,0.0947
1105,medium,train,6,0.2079
1107,hard,train,32,0.2954
111,hard,train,24,0.061
1111,easy,train,24,0.2662
1115,easy,train,38,0.066
1118,medium,train,43,0.0586
1120,medium,train,14,0.2762
1122,easy,train,10,0.1848
1123,medium,train,38,0.0613
1126,hard,train,16,0.1878
1128,medium,train,18,0.1832
113,medium,train,81,0.1466
1130,hard,train,16,0.1843
1131,medium,train,22,0.0556
1133,hard,train,22,0.0669
1134,hard,train,17,0.2292
1135,medium,train,19,0.0597
1136,easy,train,27,0.2598
1139,easy,train,20,0.0637
1140,hard,train,23,0.2713
1142,medium,train,23,0.2685
1144,easy,train,37,0.0661
1145,medium,train,42,0.0632
1146,medium,train,23,0.2649
1149,medium,train,40,0.2621
1154,medium,train,36,0.0641
1155,hard,train,30,0.2043
1157,hard,train,88,0.2001
1160,hard,train,39,0.0959
1161,hard,train,15,0.2044
1164,easy,train,19,0.267
1165,hard,train,36,0.0574
1166,medium,train,53,0.0771
1167,medium,train,20,0.1857
1169,medium,dev,12,0.3045
1172,medium,train,30,0.1503
1176,hard,train,33,0.0709
1179,medium,train,24,0.2652
118,hard,train,93,0.0522
1184,easy,train,21,0.0738
1186,hard,train,13,0.0915
119,medium,train,32,0.1488
1190,easy,train,23,0.0844
1191,hard,train,52,0.044
1193,hard,train,30,0.0647
1195,easy,train,26,0.2689
1196,easy,train,14,0.0659
1201,hard,train,25,0.07
1202,hard,train,19,0.0437
1203,medium,train,15,0.0495
1208,medium,train,78,0.0596
121,easy,train,35,0.1828
1210,medium,train,25,0.1887
1212,medium,train,23,0.0681
1213,medium,train,23,0.0582
1214,medium,train,15,0.191
1215,hard,train,59,0.0608
1219,hard,train,29,0.0826
1221,medium,train,39,0.0508
1222,easy,train,27,0.0618
1225,medium,train,24,0.0987
1226,easy,train,12,0.1892
1230,medium,train,66,0.1227
1232,easy,train,23,0.0757
1233,easy,test,25,0.0879
1234,medium,train,27,0.0694
1237,medium,train,11,0.0879
1238,easy,train,11,0.0819
1239,medium,train,34,0.062
124,hard,train,22,0.1215
1240,medium,train,24,0.0649
1241,medium,train,35,0.2679
1243,medium,train,19,0.276
1247,easy,test,13,0.1944
1249,medium,train,26,0.1395
125,hard,train,42,0.0606
1251,medium,train,12,0.231
1254,medium,train,16,0.2607
1255,medium,train,25,0.1876
1256,medium,train,27,0.0964
1258,medium,test,25,0.2049
1259,easy,train,19,0.2306
126,medium,train,11,0.0685
1260,hard,train,8,0.284
1264,medium,train,19,0.0641
1265,easy,train,37,0.0644
1267,hard,train,33,0.0748
1268,medium,train,35,0.0624
1270,easy,test,10,0.2008
1274,hard,dev,16,0.3209
1277,easy,train,68,0.0579
1278,easy,test,14,0.2485
1279,medium,train,31,0.0688
128,hard,train,20,0.0585
1280,medium,train,18,0.0786
1281,medium,train,12,0.0994
1283,easy,train,17,0.0857
1286,hard,train,40,0.0375
1287,hard,train,12,0.2697
1289,medium,train,10,0.2631
129,medium,train,17,0.1902
1292,hard,train,45,0.0428
1293,medium,train,18,0.0683
1294,easy,train,14,0.0856
1297,easy,train,8,0.0368
1298,medium,train,50,0.1355
13,easy,train,19,0.0839
1300,medium,train,11,0.0604
1301,easy,train,9,0.0812
1302,medium,train,43,0.0746
1303,medium,train,23,0.0942
1304,hard,train,34,0.2246
1307,medium,train,47,0.0757
1308,hard,train,15,0.1845
1310,medium,train,7,0.229
1311,hard,train,20,0.0799
1312,medium,train,47,0.1833
1318,hard,train,17,0.2304
1319,medium,train,31,0.0651
132,medium,train,22,0.0471
1321,easy,train,26,0.0492
1322,easy,train,19,0.2453
1323,hard,train,19,0.0674
1325,medium,train,52,0.0846
1328,hard,train,14,0.2861
1330,hard,train,13,0.1836
1332,easy,train,36,0.2632
1334,easy,train,14,0.1967
1335,medium,train,45,0.0686
1336,easy,train,5,0.2139
1337,easy,train,28,0.2724
1338,medium,train,16,0.078
1339,medium,train,17,0.0552
134,easy,train,13,0.294
1345,hard,train,5,0.2926
1346,medium,train,51,0.069
1348,hard,test,23,0.2361
1350,medium,train,42,0.0643
1354,easy,train,12,0.1887
1357,easy,train,22,0.2383
136,easy,train,33,0.0713
1362,easy,train,11,0.1561
1365,medium,train,19,0.0528
1367,hard,train,25,0.0657
1369,easy,train,13,0.0618
137,medium,train,20,0.1363
1372,easy,train,23,0.184
1375,easy,train,31,0.0581
1376,medium,train,10,0.0632
1377,easy,train,29,0.1538
1378,medium,test,32,0.2624
138,medium,train,27,0.0574
1380,medium,train,19,0.2467
1382,hard,train,11,0.1954
1384,easy,train,10,0.1937
139,easy,train,8,0.1008
1390,medium,test,8,0.2293
1392,medium,train,27,0.0594
1393,medium,train,31,0.2711
1394,hard,train,12,0.1921
1395,medium,train,18,0.1622
1396,hard,train,41,0.061
1398,easy,train,17,0.0628
14,hard,train,8,0.2265
140,medium,train,60,0.0803
1400,easy,train,21,0.2786
1404,medium,train,20,0.0613
1407,medium,train,68,0.058
1408,medium,train,25,0.1076
141,easy,train,16,0.2305
1412,easy,train,8,0.2074
1413,medium,train,24,0.0829
1416,medium,train,33,0.1276
1418,hard,train,12,0.1901
1424,medium,train,12,0.2234
1428,medium,train,34,0.0753
143,hard,train,29,0.1258
1432,easy,train,26,0.0836
1440,medium,train,20,0.0736
1441,hard,train,21,0.156
1444,hard,train,27,0.0651
1447,medium,train,14,0.269
1449,easy,train,11,0.1793
1452,medium,train,22,0.0802
1453,medium,train,43,0.1886
1456,medium,train,17,0.063
1457,medium,train,19,0.2796
1460,medium,test,31,0.2275
1461,medium,train,19,0.2442
1462,medium,train,13,0.273
1466,medium,train,21,0.2436
1469,medium,train,84,0.0838
1471,medium,train,10,0.0629
1472,medium,train,30,0.1347
1473,easy,train,21,0.0733
1474,medium,train,19,0.0624
1477,easy,train,11,0.2706
1480,medium,train,50,0.2654
1481,easy,train,10,0.2427
1482,hard,train,38,0.0714
1484,hard,train,19,0.0946
1485,medium,train,62,0.0698
1487,medium,train,29,0.0628
1488,medium,train,37,0.0568
1489,hard,train,36,0.0737
149,medium,train,25,0.0612
1490,medium,train,45,0.0768
1491,medium,train,31,0.2364
1494,easy,train,43,0.2561
1496,medium,train,21,0.0713
1497,medium,test,33,0.0635
1498,hard,train,16,0.0518
1499,medium,train,24,0.2554
1500,easy,train,26,0.0676
