model,strict,strict_lo,strict_hi,consensus,consensus_lo,consensus_hi,plausibility,plausibility_lo,plausibility_hi
clads,0.2237,0.2063,0.2443,0.2398,0.2208,0.2609,0.3984,0.3724,0.4278
claude-haiku-4-5-20251001,0.2196,0.2036,0.2362,0.2336,0.214,0.2555,0.4156,0.3898,0.4418
claude-opus-4-8,0.252,0.2329,0.2723,0.2862,0.2666,0.3062,0.4539,0.432,0.4771
deepseek-flash,0.2988,0.2805,0.3168,0.3216,0.302,0.3405,0.5429,0.5225,0.5633
deepseek-v4-pro,0.2611,0.2458,0.2785,0.2629,0.2449,0.2811,0.4851,0.4656,0.5078
fuzzy,0.2281,0.2085,0.2498,0.2456,0.2219,0.271,0.4095,0.3822,0.4406
gemini-3.1-flash-lite,0.1893,0.174,0.2063,0.177,0.1602,0.195,0.3645,0.3415,0.39
gemini-3.1-pro-preview,0.2593,0.2415,0.2768,0.2588,0.2382,0.2787,0.4515,0.4285,0.4738
gpt-4o,0.1893,0.1743,0.2052,0.1685,0.1505,0.1875,0.3668,0.3434,0.3935
gpt-5.4,0.2693,0.2504,0.2871,0.3178,0.3005,0.3369,0.4889,0.4682,0.5126
gpt-5.4-mini,0.2532,0.2374,0.2689,0.271,0.2526,0.2888,0.474,0.452,0.4968
gpt-6-sol,0.2842,0.2658,0.3033,0.2959,0.2766,0.3149,0.4982,0.4737,0.5219
jev,0.2404,0.2234,0.2582,0.2748,0.2546,0.2958,0.4296,0.4045,0.453
laya,0.2351,0.217,0.2534,0.2211,0.2018,0.2419,0.5202,0.4908,0.5474
medgemma:27b,0.1784,0.1643,0.1927,0.1606,0.1423,0.1791,0.3864,0.3553,0.4189
mpc,0.2012,0.179,0.2228,0.2252,0.2016,0.2493,0.3621,0.3351,0.388
pid,0.1571,0.1403,0.1751,0.1358,0.1157,0.1569,0.2903,0.2664,0.3182
rules,0.25,0.2308,0.2714,0.2874,0.2621,0.3142,0.436,0.4079,0.467
