model,balanced_accuracy,macro_f1,cohen_kappa,intervention_index,same_as_previous_model,same_as_previous_clinician
claude-haiku-4-5-20251001,0.2121,0.1852,0.0218,1.0269,0.4336,0.3368
claude-opus-4-8,0.2926,0.2281,0.0787,0.8998,0.3646,0.3368
deepseek-flash,0.311,0.2819,0.1065,1.0048,0.3304,0.3368
deepseek-v4-pro,0.3302,0.259,0.113,1.1214,0.382,0.3368
gemini-3.1-flash-lite,0.2821,0.1619,0.0582,1.2818,0.3695,0.3368
gemini-3.1-pro-preview,0.3233,0.2259,0.094,0.9992,0.4315,0.3368
gpt-4o,0.2555,0.161,0.0452,1.2693,0.5154,0.3368
gpt-5.4,0.2925,0.2409,0.0845,0.7419,0.3646,0.3368
gpt-5.4-mini,0.2692,0.2273,0.0609,1.0305,0.3176,0.3368
gpt-6-sol,0.3159,0.257,0.104,0.9347,0.4434,0.3368
jev,0.2356,0.1997,0.0463,0.7527,0.4415,0.3368
laya,0.198,0.1002,-0.0038,1.3607,0.9121,0.3368
medgemma:27b,0.2238,0.1459,0.0227,1.3423,0.6788,0.3368
