model,stable_correct,stable_incorrect,unstable_correct,unstable_incorrect,error_rate_stable,error_rate_unstable,fleiss_kappa
claude-haiku-4-5-20251001,22,63,3,11,0.7412,0.7857,0.8334
claude-opus-4-8,26,68,1,4,0.7234,0.8,0.9542
deepseek-flash,21,46,10,22,0.6866,0.6875,0.7172
deepseek-v4-pro,17,57,6,19,0.7703,0.76,0.7737
gemini-3.1-flash-lite,18,81,0,0,0.8182,,1.0
gemini-3.1-pro-preview,20,69,2,8,0.7753,0.8,0.9039
gpt-4o,16,72,1,10,0.8182,0.9091,0.8872
gpt-5.4-mini,21,57,3,18,0.7308,0.8571,0.8075
gpt-5.4,28,63,3,5,0.6923,0.625,0.9216
gpt-6-sol,25,62,5,7,0.7126,0.5833,0.8887
jev,26,56,5,12,0.6829,0.7059,0.8179
laya,27,72,0,0,0.7273,,1.0
medgemma:27b,19,78,0,2,0.8041,1.0,0.9767
