model,easy,medium,hard
clads,0.17391304347826086,0.242080095636581,0.23084677419354838
claude-haiku-4-5-20251001,0.1857707509881423,0.22773460848774657,0.2318548387096774
claude-opus-4-8,0.22793148880105402,0.2647937836222355,0.24899193548387097
deepseek-flash,0.2845849802371542,0.3078302450687388,0.29435483870967744
deepseek-v4-pro,0.2450592885375494,0.26060968320382544,0.27419354838709675
fuzzy,0.18708827404479578,0.24447101016138673,0.2318548387096774
gemini-3.1-flash-lite,0.16600790513833993,0.18589360430364615,0.2127016129032258
gemini-3.1-pro-preview,0.21870882740447958,0.2719665271966527,0.2691532258064516
gpt-4o,0.17523056653491437,0.19127316198445907,0.19657258064516128
gpt-5.4,0.23847167325428195,0.2791392707710699,0.2762096774193548
gpt-5.4-mini,0.23451910408432147,0.25283921099820683,0.26814516129032256
gpt-6-sol,0.25823451910408435,0.30245068738792585,0.27318548387096775
jev,0.21212121212121213,0.24985056784219964,0.24596774193548387
laya,0.2938076416337286,0.2193664076509265,0.21673387096774194
medgemma:27b,0.15151515151515152,0.17692767483562463,0.20161290322580644
mpc,0.14361001317523056,0.22474596533173938,0.2056451612903226
pid,0.1251646903820817,0.15182307232516437,0.1905241935483871
rules,0.20685111989459815,0.2683801554094441,0.25201612903225806
