model,n,strict,consensus,plausibility,weighted
claude-haiku-4-5-20251001,3424,0.2155373831775701,0.2272196261682243,0.4246495327102804,0.1795899532710282
claude-opus-4-8,3424,0.24503504672897197,0.2838785046728972,0.45210280373831774,0.20187803738317714
deepseek-flash,3424,0.2867990654205608,0.3119158878504673,0.5414719626168224,0.22987123247663513
deepseek-v4-pro,3424,0.26343457943925236,0.2558411214953271,0.4760514018691589,0.19131658878504665
gemini-3.1-flash-lite,3424,0.18078271028037382,0.17026869158878505,0.3621495327102804,0.13197958528037385
gemini-3.1-pro-preview,3424,0.24824766355140188,0.24970794392523366,0.4389602803738318,0.182129614485981
gpt-4o,3424,0.18925233644859812,0.17085280373831777,0.3726635514018692,0.13689705023364493
gpt-5.4,3424,0.2707359813084112,0.3268107476635514,0.4842289719626168,0.22506384345794364
gpt-5.4-mini,3424,0.2362733644859813,0.26255841121495327,0.4491822429906542,0.1949238609813082
gpt-6-sol,3424,0.27307242990654207,0.2885514018691589,0.4921144859813084,0.20923323598130822
jev,3424,0.24649532710280375,0.2850467289719626,0.4366238317757009,0.20159582359813044
laya,3424,0.231892523364486,0.22167056074766356,0.5178154205607477,0.18790067172897165
medgemma:27b,3424,0.1907126168224299,0.16764018691588786,0.40011682242990654,0.14344585280373837
