model,strict,consensus,plausibility,harmful_rate
deepseek-flash,0.5063,0.5027,0.9622,0.0018
deepseek-v4-pro,0.427,0.3676,0.9459,0.009
gemini-3.1-flash-lite,0.2919,0.1946,0.7405,0.164
gemini-3.1-pro-preview,0.4523,0.4108,0.9477,0.0072
gpt-4o,0.2757,0.1459,0.7622,0.0955
gpt-5.4-mini,0.4306,0.4793,0.7604,0.1441
gpt-5.4,0.5045,0.5405,0.8937,0.0559
gpt-6-sol,0.4667,0.4468,0.9712,0.0018
claude-haiku-4-5-20251001,0.4649,0.4991,0.818,0.0775
claude-opus-4-8,0.4306,0.4162,0.8234,0.0903
medgemma:27b,0.3369,0.2901,0.6775,0.2
laya,0.1748,0.1351,0.3568,0.4162
jev,0.4486,0.4883,0.818,0.0919
rules,0.4919,0.5153,0.9676,0.0
pid,0.3712,0.3117,0.9063,0.0162
clads,0.4486,0.427,0.9568,0.0
fuzzy,0.436,0.427,0.9622,0.0
floor_always_no_action,0.6432,,,0.0
floor_previous_action,0.5604,,,0.0
floor_random_expected,0.484,,,0.0
