model_a,model_b,mcnemar_p
clads,claude-haiku-4-5-20251001,0.680721
clads,claude-opus-4-8,0.001161
clads,deepseek-flash,0.0
clads,deepseek-v4-pro,2.2e-05
clads,fuzzy,0.354916
clads,gemini-3.1-flash-lite,4.8e-05
clads,gemini-3.1-pro-preview,1.3e-05
clads,gpt-4o,5.6e-05
clads,gpt-5.4,0.0
clads,gpt-5.4-mini,0.002405
clads,gpt-6-sol,0.0
clads,jev,0.076382
clads,laya,0.329561
clads,medgemma:27b,1e-06
clads,mpc,0.002455
clads,pid,0.0
clads,rules,4e-06
claude-haiku-4-5-20251001,claude-opus-4-8,0.000501
claude-haiku-4-5-20251001,deepseek-flash,0.0
claude-haiku-4-5-20251001,deepseek-v4-pro,1.1e-05
claude-haiku-4-5-20251001,fuzzy,0.370368
claude-haiku-4-5-20251001,gemini-3.1-flash-lite,0.000556
claude-haiku-4-5-20251001,gemini-3.1-pro-preview,1.3e-05
claude-haiku-4-5-20251001,gpt-4o,0.000222
claude-haiku-4-5-20251001,gpt-5.4,0.0
claude-haiku-4-5-20251001,gpt-5.4-mini,0.000215
claude-haiku-4-5-20251001,gpt-6-sol,0.0
claude-haiku-4-5-20251001,jev,0.015862
claude-haiku-4-5-20251001,laya,0.164126
claude-haiku-4-5-20251001,medgemma:27b,1e-06
claude-haiku-4-5-20251001,mpc,0.055767
claude-haiku-4-5-20251001,pid,0.0
claude-haiku-4-5-20251001,rules,0.001277
claude-opus-4-8,deepseek-flash,0.0
claude-opus-4-8,deepseek-v4-pro,0.276175
claude-opus-4-8,fuzzy,0.005005
claude-opus-4-8,gemini-3.1-flash-lite,0.0
claude-opus-4-8,gemini-3.1-pro-preview,0.332374
claude-opus-4-8,gpt-4o,0.0
claude-opus-4-8,gpt-5.4,0.01307
claude-opus-4-8,gpt-5.4-mini,0.916873
claude-opus-4-8,gpt-6-sol,4.4e-05
claude-opus-4-8,jev,0.207634
claude-opus-4-8,laya,0.127087
claude-opus-4-8,medgemma:27b,0.0
claude-opus-4-8,mpc,0.0
claude-opus-4-8,pid,0.0
claude-opus-4-8,rules,0.836106
deepseek-flash,deepseek-v4-pro,0.0
deepseek-flash,fuzzy,0.0
deepseek-flash,gemini-3.1-flash-lite,0.0
deepseek-flash,gemini-3.1-pro-preview,1e-06
deepseek-flash,gpt-4o,0.0
deepseek-flash,gpt-5.4,0.000432
deepseek-flash,gpt-5.4-mini,2e-06
deepseek-flash,gpt-6-sol,0.031225
deepseek-flash,jev,0.0
deepseek-flash,laya,0.0
deepseek-flash,medgemma:27b,0.0
deepseek-flash,mpc,0.0
deepseek-flash,pid,0.0
deepseek-flash,rules,0.0
deepseek-v4-pro,fuzzy,0.000155
deepseek-v4-pro,gemini-3.1-flash-lite,0.0
deepseek-v4-pro,gemini-3.1-pro-preview,0.832686
deepseek-v4-pro,gpt-4o,0.0
deepseek-v4-pro,gpt-5.4,0.331803
deepseek-v4-pro,gpt-5.4-mini,0.40839
deepseek-v4-pro,gpt-6-sol,0.000335
deepseek-v4-pro,jev,0.035174
deepseek-v4-pro,laya,0.017769
deepseek-v4-pro,medgemma:27b,0.0
deepseek-v4-pro,mpc,0.0
deepseek-v4-pro,pid,0.0
deepseek-v4-pro,rules,0.227982
fuzzy,gemini-3.1-flash-lite,4e-06
fuzzy,gemini-3.1-pro-preview,7.2e-05
fuzzy,gpt-4o,4e-06
fuzzy,gpt-5.4,2e-06
fuzzy,gpt-5.4-mini,0.010211
fuzzy,gpt-6-sol,0.0
fuzzy,jev,0.19832
fuzzy,laya,0.556284
fuzzy,medgemma:27b,0.0
fuzzy,mpc,0.000193
fuzzy,pid,0.0
fuzzy,rules,0.0
gemini-3.1-flash-lite,gemini-3.1-pro-preview,0.0
gemini-3.1-flash-lite,gpt-4o,1.0
gemini-3.1-flash-lite,gpt-5.4,0.0
gemini-3.1-flash-lite,gpt-5.4-mini,0.0
gemini-3.1-flash-lite,gpt-6-sol,0.0
gemini-3.1-flash-lite,jev,0.0
gemini-3.1-flash-lite,laya,1.2e-05
gemini-3.1-flash-lite,medgemma:27b,0.197651
gemini-3.1-flash-lite,mpc,0.176756
gemini-3.1-flash-lite,pid,4e-05
gemini-3.1-flash-lite,rules,0.0
gemini-3.1-pro-preview,gpt-4o,0.0
gemini-3.1-pro-preview,gpt-5.4,0.214218
