model,n,incr_hypnotic_bis_lt40,incr_hypnotic_map_lt65,incr_opioid_hr_lt50,reduce_hypnotic_bis_gt60
clads,3424,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,3424,0.0155,0.0093,0.0018,0.0593
claude-opus-4-8,3424,0.0476,0.033,0.0006,0.0058
deepseek-flash,3424,0.002,0.0149,0.0032,0.0041
deepseek-v4-pro,3424,0.0003,0.0213,0.0023,0.0041
fuzzy,3424,0.0,0.0,0.0,0.0
gemini-3.1-flash-lite,3424,0.0964,0.0476,0.0009,0.0239
gemini-3.1-pro-preview,3424,0.0032,0.026,0.0009,0.0085
gpt-4o,3424,0.0453,0.0321,0.0,0.0251
gpt-5.4,3424,0.0315,0.0266,0.0006,0.0093
gpt-5.4-mini,3424,0.0718,0.0435,0.0006,0.0082
gpt-6-sol,3424,0.0,0.0161,0.0012,0.0029
jev,3424,0.0277,0.0131,0.0003,0.0534
laya,3424,0.0006,0.0006,0.0394,0.0061
medgemma:27b,3424,0.0602,0.0283,0.0003,0.0771
mpc,3424,0.031,0.0,0.0,0.0058
pid,3424,0.0114,0.0,0.0,0.019
rules,3424,0.0,0.0,0.0,0.0
