unit,kind,n_windows,n_cases,n_covered,n_covered_cases,coverage,carles,carles_lo,carles_hi,sandro,sandro_lo,sandro_hi,yihao,yihao_lo,yihao_hi,majority,majority_lo,majority_hi,unanimity,unanimity_lo,unanimity_hi,note
result_real (is_gt),reference,298,272,298,272,1.0,0.3389,0.2877,0.3925,0.1309,0.0912,0.1678,0.2852,0.2318,0.3379,0.245,0.1931,0.2935,0.0805,0.0503,0.1111,
anesllm,policy,298,272,298,272,1.0,0.5302,0.4739,0.5908,0.3691,0.3141,0.4251,0.4597,0.4033,0.5168,0.4631,0.4034,0.5185,0.2483,0.1993,0.299,
clads,policy,298,272,298,272,1.0,0.745,0.691,0.7923,0.4765,0.4172,0.5358,0.6376,0.5831,0.6883,0.6644,0.6068,0.7162,0.3725,0.3186,0.4305,
fuzzy,policy,298,272,298,272,1.0,0.7953,0.7474,0.8404,0.4832,0.4224,0.5424,0.6611,0.6068,0.7176,0.7047,0.6495,0.7573,0.3859,0.33,0.4437,
llm_direct,policy,298,272,298,272,1.0,0.6107,0.5552,0.6655,0.6409,0.5802,0.7034,0.5604,0.5034,0.6167,0.6074,0.5487,0.6688,0.4027,0.3473,0.4615,
mpc,policy,298,272,298,272,1.0,0.1577,0.1155,0.2046,0.0738,0.0377,0.1136,0.2248,0.1722,0.2753,0.1443,0.1017,0.19,0.0436,0.0198,0.0705,
pid,policy,298,272,298,272,1.0,0.406,0.3523,0.4613,0.1678,0.125,0.2124,0.2953,0.2415,0.3489,0.2886,0.2359,0.3424,0.1174,0.0816,0.1536,
rule,policy,298,272,298,272,1.0,0.8758,0.8378,0.9119,0.5369,0.4762,0.5966,0.6913,0.6364,0.7459,0.7617,0.7119,0.8097,0.4295,0.371,0.4899,
result_1,benchmark,298,272,282,257,0.9463,0.3688,0.3167,0.4261,0.1454,0.1043,0.1845,0.3085,0.2563,0.364,0.266,0.2191,0.3182,0.1028,0.0702,0.1367,
result_aux,benchmark,298,272,123,120,0.4128,0.5366,0.4496,0.626,0.5041,0.4127,0.6083,0.5366,0.45,0.6333,0.5447,0.4583,0.6417,0.3821,0.2927,0.4833,
clads,model,13,13,13,13,1.0,0.6923,0.4615,0.9231,0.4615,0.2308,0.7692,0.6154,0.3846,0.8462,0.6154,0.3846,0.8462,0.3077,0.0769,0.5385,preliminary: 13 review windows in test
claude-haiku-4-5-20251001,model,13,13,11,11,0.8462,0.4545,0.1818,0.7273,0.0909,0.0,0.2727,0.2727,0.0,0.5455,0.2727,0.0,0.5455,0.0909,0.0,0.2727,preliminary: 13 review windows in test
claude-opus-4-8,model,13,13,11,11,0.8462,0.5455,0.2727,0.8182,0.4545,0.1818,0.7273,0.5455,0.2727,0.8182,0.5455,0.2727,0.8182,0.2727,0.0,0.5455,preliminary: 13 review windows in test
deepseek-v4.1-flash,model,13,13,8,8,0.6154,0.625,0.25,1.0,0.625,0.25,1.0,0.625,0.25,1.0,0.625,0.25,1.0,0.5,0.125,0.875,preliminary: 13 review windows in test
deepseek-v4-pro,model,13,13,12,12,0.9231,0.5,0.25,0.75,0.5833,0.3333,0.8333,0.5833,0.3333,0.8333,0.5833,0.3333,0.8333,0.3333,0.0833,0.5833,preliminary: 13 review windows in test
fuzzy,model,13,13,13,13,1.0,0.8462,0.6154,1.0,0.4615,0.2308,0.6923,0.6154,0.3077,0.8462,0.6154,0.3077,0.8462,0.3846,0.1538,0.6923,preliminary: 13 review windows in test
gemini-3.1-flash-lite,model,13,13,11,11,0.8462,0.5455,0.1818,0.8182,0.6364,0.3636,0.9091,0.5455,0.2727,0.8182,0.5455,0.2727,0.8182,0.3636,0.0909,0.6364,preliminary: 13 review windows in test
gemini-3.1-pro-preview,model,13,13,12,12,0.9231,0.5833,0.3333,0.8333,0.5833,0.3333,0.8333,0.5833,0.3333,0.8333,0.5833,0.3333,0.8333,0.4167,0.1667,0.6667,preliminary: 13 review windows in test
gpt-4o,model,13,13,11,11,0.8462,0.5455,0.1818,0.8182,0.5455,0.2727,0.8182,0.5455,0.2727,0.8182,0.5455,0.2727,0.8182,0.3636,0.0909,0.6364,preliminary: 13 review windows in test
gpt-5.4,model,13,13,13,13,1.0,0.5385,0.3077,0.7692,0.3846,0.1538,0.6923,0.4615,0.2308,0.6923,0.4615,0.2308,0.6923,0.2308,0.0769,0.4615,preliminary: 13 review windows in test
gpt-5.4-mini,model,13,13,10,10,0.7692,0.6,0.3,0.9,0.5,0.2,0.8,0.6,0.3,0.9,0.6,0.3,0.9,0.3,0.0,0.6,preliminary: 13 review windows in test
gpt-6-sol,model,13,13,12,12,0.9231,0.6667,0.4167,0.9167,0.5833,0.3333,0.8333,0.6667,0.4167,0.9167,0.6667,0.4167,0.9167,0.4167,0.1667,0.6667,preliminary: 13 review windows in test
jev,model,13,13,12,12,0.9231,0.8333,0.5833,1.0,0.3333,0.0833,0.5833,0.5833,0.3333,0.8333,0.5833,0.3333,0.8333,0.3333,0.0833,0.5833,preliminary: 13 review windows in test
medgemma:27b,model,13,13,10,10,0.7692,0.1,0.0,0.3,0.4,0.1,0.7,0.2,0.0,0.5,0.2,0.0,0.5,0.1,0.0,0.3,preliminary: 13 review windows in test
pid,model,13,13,11,11,0.8462,0.2727,0.0,0.5455,0.3636,0.0909,0.6364,0.3636,0.0909,0.6364,0.3636,0.0909,0.6364,0.2727,0.0,0.5455,preliminary: 13 review windows in test
rules,model,13,13,13,13,1.0,1.0,1.0,1.0,0.4615,0.2308,0.6923,0.7692,0.5385,1.0,0.7692,0.5385,1.0,0.4615,0.2308,0.6923,preliminary: 13 review windows in test
